#,Company,Symbol,Portfolio%,Price,Chg,% Chg
212,Lululemon Athletica Inc.,LULU,0.09%,358.8,-1.66,(-0.46%)
213,Lennar Corporation Class A,LEN,0.09%,165.99,0.98,(0.59%)
214,Monster Beverage Corporation,MNST,0.09%,55.75,0.1,(0.18%)
215,Cummins Inc.,CMI,0.09%,302.03,1.68,(0.56%)
216,"Dominion Energy, Inc",D,0.09%,49.55,0.77,(1.58%)
217,"Corteva, Inc.",CTVA,0.09%,57.52,0.0,(0.00%)
218,Old Dominion Freight Line,ODFL,0.09%,222.52,-2.17,(-0.97%)
219,Otis Worldwide Corporation,OTIS,0.09%,99.12,1.09,(1.11%)
220,"Cencora, Inc.",COR,0.09%,238.57,-1.79,(-0.74%)
221,Paychex Inc,PAYX,0.09%,126.59,2.74,(2.21%)
222,"L3harris Technologies, Inc.",LHX,0.09%,206.15,-2.35,(-1.13%)
223,"General Mills, Inc.",GIS,0.09%,70.18,0.18,(0.26%)
224,Humana Inc.,HUM,0.09%,319.62,2.62,(0.83%)
225,Centene Corporation,CNC,0.09%,72.71,-0.27,(-0.37%)
226,Sysco Corporation,SYY,0.09%,77.51,0.77,(1.00%)
227,Republic Services Inc.,RSG,0.09%,188.8,0.28,(0.15%)
228,Martin Marietta Materials,MLM,0.09%,610.63,-10.9,(-1.75%)
229,Costar Group Inc,CSGP,0.09%,95.69,1.47,(1.56%)
230,"Quanta Services, Inc.",PWR,0.09%,256.4,-5.86,(-2.23%)
231,Ingersoll Rand Inc.,IR,0.09%,93.5,-0.51,(-0.54%)
232,"Yum! Brands, Inc.",YUM,0.09%,137.02,1.8,(1.33%)
233,Exelon Corporation,EXC,0.09%,37.87,0.09,(0.24%)
234,Ge Healthcare Technologies Inc.,GEHC,0.09%,86.94,-0.77,(-0.88%)
235,"Diamondback Energy, Inc.",FANG,0.08%,205.53,-1.04,(-0.50%)
236,"Gartner, Inc.",IT,0.08%,469.89,-1.98,(-0.42%)
237,Halliburton Company,HAL,0.08%,40.98,0.02,(0.05%)
238,The Kroger Co.,KR,0.08%,55.42,0.05,(0.09%)
239,Pg&e Corporation,PCG,0.08%,16.99,0.18,(1.07%)
240,Vulcan Materials Company,VMC,0.08%,265.62,-4.1,(-1.52%)
241,Cognizant Technology Solutions,CTSH,0.08%,71.56,0.5,(0.70%)
242,"Kinder Morgan, Inc.",KMI,0.08%,18.48,0.12,(0.65%)
243,Ge Vernova Inc.,GEV,0.08%,132.17,2.21,(1.70%)
244,Arch Capital Group Ltd,ACGL,0.08%,91.22,-3.33,(-3.52%)
245,"Moderna, Inc.",MRNA,0.08%,111.6,6.51,(6.19%)
246,Kenvue Inc.,KVUE,0.08%,20.35,0.29,(1.45%)
247,Dollar General Corp.,DG,0.08%,153.39,-3.35,(-2.14%)
248,Baker Hughes Company,BKR,0.08%,34.19,-0.06,(-0.18%)
249,Devon Energy Corporation,DVN,0.08%,54.14,0.71,(1.33%)
250,Cdw Corporation,CDW,0.08%,254.25,-0.01,(-0.00%)
251,The Estee Lauder Companies Inc. Class A,EL,0.08%,148.55,3.12,(2.15%)
252,Archer Daniels Midland Company,ADM,0.08%,63.9,0.72,(1.14%)
253,"Global Payments, Inc.",GPN,0.08%,128.16,0.1,(0.08%)
254,Public Service Enterprise Group Incorporated,PEG,0.08%,67.2,0.41,(0.61%)
255,"Ppg Industries, Inc.",PPG,0.08%,142.2,2.29,(1.64%)
256,"Verisk Analytics, Inc.",VRSK,0.08%,229.36,2.98,(1.32%)
257,"Dupont De Nemours, Inc.",DD,0.08%,77.28,1.0,(1.31%)
258,Royal Caribbean Group,RCL,0.07%,133.18,-5.11,(-3.70%)
259,"Monolithic Power Systems, Inc.",MPWR,0.07%,682.15,0.83,(0.12%)
260,"Rockwell Automation, Inc.",ROK,0.07%,286.83,4.78,(1.69%)
261,Keurig Dr Pepper Inc.,KDP,0.07%,31.01,0.21,(0.68%)
262,Electronic Arts Inc,EA,0.07%,130.69,0.69,(0.53%)
263,"Equifax, Incorporated",EFX,0.07%,262.74,3.71,(1.43%)
264,"Extra Space Storage, Inc.",EXR,0.07%,152.39,3.32,(2.23%)
265,Discover Financial Services,DFS,0.07%,125.34,-0.37,(-0.29%)
266,"Consolidated Edison, Inc.",ED,0.07%,91.13,0.53,(0.58%)
267,"The Hartford Financial Services Group, Inc.",HIG,0.07%,98.87,-3.89,(-3.79%)
268,Vici Properties Inc.,VICI,0.07%,29.8,0.17,(0.57%)
269,Fair Isaac Corporation,FICO,0.07%,1219.08,-19.8,(-1.60%)
270,Xylem Inc,XYL,0.07%,128.93,1.18,(0.92%)
271,"Delta Air Lines, Inc.",DAL,0.07%,47.32,0.31,(0.66%)
272,Ansys Inc,ANSS,0.07%,344.5,0.4,(0.12%)
273,"Xcel Energy, Inc.",XEL,0.07%,54.37,0.29,(0.54%)
274,Biogen Inc.,BIIB,0.07%,206.52,1.57,(0.77%)
275,Fortive Corporation,FTV,0.07%,84.19,-0.03,(-0.04%)
276,On Semiconductor Corp,ON,0.07%,70.94,2.19,(3.19%)
277,The Kraft Heinz Company,KHC,0.07%,37.16,0.11,(0.30%)
278,The Hershey Company,HSY,0.07%,194.58,0.39,(0.20%)
279,"West Pharmaceutical Services, Inc.",WST,0.07%,392.38,-0.2,(-0.05%)
280,"Cbre Group, Inc.",CBRE,0.07%,96.2,-0.31,(-0.32%)
281,Mettler-Toledo International,MTD,0.06%,1336.6,32.33,(2.48%)
282,"Keysight Technologies, Inc.",KEYS,0.06%,160.05,1.3,(0.82%)
283,Willis Towers Watson Public Limited Companys,WTW,0.06%,265.1,-2.29,(-0.86%)
284,Resmed Inc.,RMD,0.06%,194.27,6.51,(3.47%)
285,Edison International,EIX,0.06%,70.89,0.21,(0.30%)
286,Charter Comm Inc Del Cl a,CHTR,0.06%,271.46,-1.59,(-0.58%)
287,Tractor Supply Co,TSCO,0.06%,253.19,3.62,(1.45%)
288,"Cardinal Health, Inc.",CAH,0.06%,108.07,-1.4,(-1.28%)
289,Wabtec Inc.,WAB,0.06%,147.86,-1.6,(-1.07%)
290,Ebay Inc,EBAY,0.06%,51.96,0.38,(0.74%)
291,Dollar Tree Inc.,DLTR,0.06%,127.33,-0.89,(-0.69%)
292,"Zimmer Biomet Holdings, Inc.",ZBH,0.06%,129.4,2.71,(2.14%)
293,Lyondellbasell Industries N.v. Class A,LYB,0.06%,104.76,0.93,(0.90%)
294,T Rowe Price Group Inc,TROW,0.06%,119.65,2.1,(1.79%)
295,"Avalonbay Communities, Inc.",AVB,0.06%,188.86,2.68,(1.44%)
296,Howmet Aerospace Inc.,HWM,0.06%,65.85,-0.88,(-1.32%)
297,Targa Resources Corp.,TRGP,0.06%,114.41,-1.56,(-1.35%)
298,"Wec Energy Group, Inc.",WEC,0.06%,81.91,0.58,(0.71%)
299,Hp Inc.,HPQ,0.06%,29.97,0.66,(2.25%)
300,Weyerhaeuser Company,WY,0.06%,35.03,0.61,(1.77%)
301,"Nvr, Inc.",NVR,0.06%,7972.85,101.7,(1.29%)
302,"Church & Dwight Co., Inc.",CHD,0.06%,101.89,0.4,(0.39%)
303,"Pultegroup, Inc.",PHM,0.06%,115.39,0.34,(0.30%)
304,"Builders Firstsource, Inc.",BLDR,0.06%,199.19,-1.31,(-0.65%)
305,Fifth Third Bancorp,FITB,0.06%,36.39,0.22,(0.61%)
306,Dover Corporation,DOV,0.06%,177.35,1.27,(0.72%)
307,Corning Incorporated,GLW,0.06%,32.55,0.36,(1.12%)
308,"Raymond James Financial, Inc.",RJF,0.06%,128.07,-1.92,(-1.48%)
309,Take-Two Interactive Software Inc,TTWO,0.06%,154.7,1.05,(0.68%)
310,Broadridge Financial Solutions Inc,BR,0.06%,207.24,2.37,(1.16%)
311,"Nasdaq, Inc.",NDAQ,0.05%,63.56,1.42,(2.29%)
312,State Street Corporation,STT,0.05%,76.64,0.25,(0.33%)
313,Western Digital Corp.,WDC,0.05%,72.65,-0.3,(-0.41%)
314,M&t Bank Corp.,MTB,0.05%,140.76,0.19,(0.14%)
315,Hewlett Packard Enterprise Company,HPE,0.05%,18.02,-0.12,(-0.66%)
316,"American Water Works Company, Inc",AWK,0.05%,121.85,1.83,(1.52%)
317,Iron Mountain Inc.,IRM,0.05%,79.2,0.46,(0.58%)
318,Sba Communications Corp,SBAC,0.05%,218.6,5.59,(2.62%)
319,Garmin Ltd,GRMN,0.05%,148.38,-0.62,(-0.42%)
320,Align Technology Inc,ALGN,0.05%,330.25,10.19,(3.18%)
321,Deckers Outdoor Corp,DECK,0.05%,867.81,-21.03,(-2.37%)
322,Dte Energy Company,DTE,0.05%,109.87,0.37,(0.34%)
323,Steel Dynamics Inc,STLD,0.05%,146.73,-1.12,(-0.76%)
